"parameter","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"xi[73,3]",1.21533333333333,0.420742078778088,1,1,1,1,2,1.00187881196974,1500
"xi[74,3]",1.26666666666667,0.457119833015517,1,1,1,2,2,1.00060664733831,3000
"xi[75,3]",1.111,0.317352439500553,1,1,1,1,2,1.00084728287548,3000
"xi[76,3]",2.09466666666667,0.53522616207582,1,2,2,2,3,1.00099045727737,3000
"xi[77,3]",1.032,0.176029340668704,1,1,1,1,2,1.00485148984435,3000
"xi[78,3]",3.00266666666667,0.724914746264694,2,3,3,3,5,1.01002250140356,250
"xi[79,3]",4.55033333333333,0.672024623497595,3,4,5,5,5,1.01011181757226,230
"xi[80,3]",2.42766666666667,0.591792160764855,1,2,2,3,3,1.00581786812531,380
"xi[81,3]",1.11433333333333,0.321396412716328,1,1,1,1,2,1.00050773621024,3000
"xi[82,3]",2.191,0.495244810648388,1,2,2,2,3,1.00150261412561,2000
"xi[83,3]",2.63866666666667,0.55154899237138,2,2,3,3,4,1.0100444181104,210
"xi[84,3]",2.317,0.570338579586829,1,2,2,3,3,1.00330286946722,830
"xi[85,3]",1.11733333333333,0.328027574428458,1,1,1,1,2,1.00750696287402,580
"xi[86,3]",2.97,0.696128483079801,2,3,3,3,5,1.00389806339905,590
"xi[87,3]",4.697,0.569765341330441,3,5,5,5,5,1.01840381444795,190
"xi[88,3]",3.43566666666667,0.826290187553322,2,3,3,4,5,1.00324205311126,730
"xi[89,3]",3.34766666666667,0.8320809306275,2,3,3,4,5,1.00280874079627,1400
"xi[90,3]",4.61733333333333,0.633798171552251,3,4,5,5,5,1.0099508022337,310
"xi[91,3]",1.482,0.533951653357032,1,1,1,2,2,1.00303362424913,790
"xi[92,3]",3.30466666666667,0.803778727202325,2,3,3,4,5,1.00397459598848,1700
"xi[93,3]",4.69633333333333,0.559962267897917,3,4,5,5,5,1.01124469451512,270
"xi[94,3]",4.63366666666667,0.612311084207614,3,4,5,5,5,1.01011002114673,290
"xi[95,3]",2.12766666666667,0.507398962150252,1,2,2,2,3,1.00460104001673,490
"xi[96,3]",4.63766666666667,0.614144619309408,3,4,5,5,5,1.01026882590739,260
"xi[97,3]",1.053,0.22555403981077,1,1,1,1,2,1.00066528113986,3000
"xi[98,3]",1.18566666666667,0.390613297868509,1,1,1,1,2,1.00133545766751,2400
"xi[99,3]",3.13366666666667,0.790363701394733,2,3,3,3,5,1.00446789784708,670
"xi[100,3]",1.006,0.0772398126802987,1,1,1,1,1,1.00049787805672,3000
"xi[101,3]",3.942,0.88443771781411,2,3,4,5,5,1.00410065776691,560
"xi[102,3]",1.91633333333333,0.509332598067354,1,2,2,2,3,1.00051696662163,3000
"xi[103,3]",1.88133333333333,0.527267382377982,1,2,2,2,3,1.00304185663313,810
"xi[104,3]",3.447,0.844252284948174,2,3,3,4,5,1.00283713709244,860
"xi[105,3]",1.00266666666667,0.0515794762447117,1,1,1,1,1,1.08840813654731,1800
"xi[106,3]",4.64066666666667,0.600277435765207,3,4,5,5,5,1.00329087029275,720
"xi[107,3]",1.00433333333333,0.0656962268345424,1,1,1,1,1,1.03618629519729,3000
"xi[108,3]",4.158,0.852023854252962,3,3,4,5,5,1.00271263520341,910
"xi[109,3]",1.039,0.193627211842039,1,1,1,1,2,1.00198096769522,3000
"xi[110,3]",2.873,0.673564322317302,2,2,3,3,4,1.00276732814291,880
"xi[111,3]",1.455,0.524150020905089,1,1,1,2,2,1.00426621381436,530
"xi[112,3]",1.747,0.5547614382938,1,1,2,2,3,1.00132044858279,2400
